identifier,name,legality,keywords,text,rarity,image,pitch value,life,intellect,attack,defense,cost,stats,id,language,flavour,set,finish,edition,sku,number,set.id,set.name,set.released,set.browseable,set.draftable,set.0
teklo-plasma-pistol,Teklo Plasma Pistol,[],"['mechanologist', 'weapon', 'pistol', '2h']","**Action** - Remove a steam counter from Teklo Plasma Pistol: **Attack**

**Action** - [Resource]: If there are no steam counters on Teklo Plasma Pistol, put a steam counter on it. **Go again**",T,"https://fabdb2.imgix.net/cards/printings/ARC003.png?w=400&fit=clip&auto=compress,format",,,,2.0,,,,866,en,,Arcane Rising,Regular,{},ARC003,003,arc,Arcane Rising,2020-03-27,True,True,
teklo-plasma-pistol,Teklo Plasma Pistol,[],"['mechanologist', 'weapon', 'pistol', '2h']","**Action** - Remove a steam counter from Teklo Plasma Pistol: **Attack**

**Action** - [Resource]: If there are no steam counters on Teklo Plasma Pistol, put a steam counter on it. **Go again**",T,"https://fabdb2.imgix.net/cards/printings/ARC003.png?w=400&fit=clip&auto=compress,format",,,,2.0,,,,1284,en,,Arcane Rising Unlimited,Regular,{},U-ARC003,003,arc,Arcane Rising,2020-03-27,True,True,
teklo-plasma-pistol,Teklo Plasma Pistol,[],"['mechanologist', 'weapon', 'pistol', '2h']","**Action** - Remove a steam counter from Teklo Plasma Pistol: **Attack**

**Action** - [Resource]: If there are no steam counters on Teklo Plasma Pistol, put a steam counter on it. **Go again**",T,"https://fabdb2.imgix.net/cards/printings/ARC003.png?w=400&fit=clip&auto=compress,format",,,,2.0,,,,1888,en,,Crucible of War,Regular,{},CRU100,100,cru,Crucible of War,2020-08-28,True,,
teklo-plasma-pistol,Teklo Plasma Pistol,[],"['mechanologist', 'weapon', 'pistol', '2h']","**Action** - Remove a steam counter from Teklo Plasma Pistol: **Attack**

**Action** - [Resource]: If there are no steam counters on Teklo Plasma Pistol, put a steam counter on it. **Go again**",T,"https://fabdb2.imgix.net/cards/printings/ARC003.png?w=400&fit=clip&auto=compress,format",,,,2.0,,,,2221,en,,Promo,Cold Foil,{},LGS009-CF,009,lgs,Local Game Store Promos,,,,browseable => false
teklo-plasma-pistol,Teklo Plasma Pistol,[],"['mechanologist', 'weapon', 'pistol', '2h']","**Action** - Remove a steam counter from Teklo Plasma Pistol: **Attack**

**Action** - [Resource]: If there are no steam counters on Teklo Plasma Pistol, put a steam counter on it. **Go again**",T,"https://fabdb2.imgix.net/cards/printings/ARC003.png?w=400&fit=clip&auto=compress,format",,,,2.0,,,,3793,en,,Crucible of War,Rainbow foil,{},U-CRU100-RF,100,cru,Crucible of War,2020-08-28,True,,
teklo-plasma-pistol,Teklo Plasma Pistol,[],"['mechanologist', 'weapon', 'pistol', '2h']","**Action** - Remove a steam counter from Teklo Plasma Pistol: **Attack**

**Action** - [Resource]: If there are no steam counters on Teklo Plasma Pistol, put a steam counter on it. **Go again**",T,"https://fabdb2.imgix.net/cards/printings/ARC003.png?w=400&fit=clip&auto=compress,format",,,,2.0,,,,11720,en,,History Pack 1,Regular,{},1HP184,184,1hp,History Pack 1,2021-05-07,False,,
teklo-foundry-heart,Teklo Foundry Heart,[],"['mechanologist', 'equipment', 'chest']","**Once per Turn Action** - [Resource]: Banish the top 2 cards of your deck. Gain [Resource] for each Mechanologist card banished this way. Activate this ability only if you have **boosted** this turn.**Go again**

**Battleworn** *(If you defend with Teklo Foundry Heart, put a -1 [Defense] counter on it when the combat chain closes.)*",Legendary,"https://fabdb2.imgix.net/cards/printings/ARC004-CF.png?w=400&fit=clip&auto=compress,format",,,,,2.0,,,867,en,,Arcane Rising,Cold foil,{},ARC004-CF,004,arc,Arcane Rising,2020-03-27,True,True,
teklo-foundry-heart,Teklo Foundry Heart,[],"['mechanologist', 'equipment', 'chest']","**Once per Turn Action** - [Resource]: Banish the top 2 cards of your deck. Gain [Resource] for each Mechanologist card banished this way. Activate this ability only if you have **boosted** this turn.**Go again**

**Battleworn** *(If you defend with Teklo Foundry Heart, put a -1 [Defense] counter on it when the combat chain closes.)*",Legendary,"https://fabdb2.imgix.net/cards/printings/ARC004-CF.png?w=400&fit=clip&auto=compress,format",,,,,2.0,,,1285,en,,Arcane Rising Unlimited,Rainbow foil,{},U-ARC004-RF,004,arc,Arcane Rising,2020-03-27,True,True,
teklo-foundry-heart,Teklo Foundry Heart,[],"['mechanologist', 'equipment', 'chest']","**Once per Turn Action** - [Resource]: Banish the top 2 cards of your deck. Gain [Resource] for each Mechanologist card banished this way. Activate this ability only if you have **boosted** this turn.**Go again**

**Battleworn** *(If you defend with Teklo Foundry Heart, put a -1 [Defense] counter on it when the combat chain closes.)*",Legendary,"https://fabdb2.imgix.net/cards/printings/ARC004-CF.png?w=400&fit=clip&auto=compress,format",,,,,2.0,,,2234,en,,Promo,Cold Foil - Golden,{},FAB008-GF,008,fab,Flesh & Blood Promos,,,,browseable => false
teklo-foundry-heart,Teklo Foundry Heart,[],"['mechanologist', 'equipment', 'chest']","**Once per Turn Action** - [Resource]: Banish the top 2 cards of your deck. Gain [Resource] for each Mechanologist card banished this way. Activate this ability only if you have **boosted** this turn.**Go again**

**Battleworn** *(If you defend with Teklo Foundry Heart, put a -1 [Defense] counter on it when the combat chain closes.)*",Legendary,"https://fabdb2.imgix.net/cards/printings/ARC004-CF.png?w=400&fit=clip&auto=compress,format",,,,,2.0,,,11721,en,,History Pack 1,Regular,{},1HP185,185,1hp,History Pack 1,2021-05-07,False,,
achilles-accelerator,Achilles Accelerator,[],"['mechanologist', 'equipment', 'legs']","**Instant** - Destroy Achilles Accelerator: Gain 1 action point. Activate this ability only if you have **boosted** this turn.

**Arcane Barrier 1** *(If your hero would be dealt arcane damage, you may pay [Resource] instead. If you do, prevent 1 arcane damage that source would deal.)*",Common,"https://fabdb2.imgix.net/cards/printings/ARC005-CF.png?w=400&fit=clip&auto=compress,format",,,,,0.0,,,868,en,,Arcane Rising,Cold foil,{},ARC005-CF,005,arc,Arcane Rising,2020-03-27,True,True,
achilles-accelerator,Achilles Accelerator,[],"['mechanologist', 'equipment', 'legs']","**Instant** - Destroy Achilles Accelerator: Gain 1 action point. Activate this ability only if you have **boosted** this turn.

**Arcane Barrier 1** *(If your hero would be dealt arcane damage, you may pay [Resource] instead. If you do, prevent 1 arcane damage that source would deal.)*",Common,"https://fabdb2.imgix.net/cards/printings/ARC005-CF.png?w=400&fit=clip&auto=compress,format",,,,,0.0,,,869,en,,Arcane Rising,Regular,{},ARC005,005,arc,Arcane Rising,2020-03-27,True,True,
achilles-accelerator,Achilles Accelerator,[],"['mechanologist', 'equipment', 'legs']","**Instant** - Destroy Achilles Accelerator: Gain 1 action point. Activate this ability only if you have **boosted** this turn.

**Arcane Barrier 1** *(If your hero would be dealt arcane damage, you may pay [Resource] instead. If you do, prevent 1 arcane damage that source would deal.)*",Common,"https://fabdb2.imgix.net/cards/printings/ARC005-CF.png?w=400&fit=clip&auto=compress,format",,,,,0.0,,,1286,en,,Arcane Rising Unlimited,Rainbow foil,{},U-ARC005-RF,005,arc,Arcane Rising,2020-03-27,True,True,
achilles-accelerator,Achilles Accelerator,[],"['mechanologist', 'equipment', 'legs']","**Instant** - Destroy Achilles Accelerator: Gain 1 action point. Activate this ability only if you have **boosted** this turn.

**Arcane Barrier 1** *(If your hero would be dealt arcane damage, you may pay [Resource] instead. If you do, prevent 1 arcane damage that source would deal.)*",Common,"https://fabdb2.imgix.net/cards/printings/ARC005-CF.png?w=400&fit=clip&auto=compress,format",,,,,0.0,,,1287,en,,Arcane Rising Unlimited,Regular,{},U-ARC005,005,arc,Arcane Rising,2020-03-27,True,True,
achilles-accelerator,Achilles Accelerator,[],"['mechanologist', 'equipment', 'legs']","**Instant** - Destroy Achilles Accelerator: Gain 1 action point. Activate this ability only if you have **boosted** this turn.

**Arcane Barrier 1** *(If your hero would be dealt arcane damage, you may pay [Resource] instead. If you do, prevent 1 arcane damage that source would deal.)*",Common,"https://fabdb2.imgix.net/cards/printings/ARC005-CF.png?w=400&fit=clip&auto=compress,format",,,,,0.0,,,11722,en,,History Pack 1,Regular,{},1HP186,186,1hp,History Pack 1,2021-05-07,False,,
achilles-accelerator,Achilles Accelerator,[],"['mechanologist', 'equipment', 'legs']","**Instant** - Destroy Achilles Accelerator: Gain 1 action point. Activate this ability only if you have **boosted** this turn.

**Arcane Barrier 1** *(If your hero would be dealt arcane damage, you may pay [Resource] instead. If you do, prevent 1 arcane damage that source would deal.)*",Common,"https://fabdb2.imgix.net/cards/printings/ARC005-CF.png?w=400&fit=clip&auto=compress,format",,,,,0.0,,,14205,en,,Promo,Cold Foil - Golden,{},FAB101,101,fab,Flesh & Blood Promos,,,,browseable => false
high-octane,High Octane,[],"['mechanologist', 'action']","Whenever you **boost** a card this turn, gain 1 action point.

Draw a card.

**Go again**",Majestic,"https://fabdb2.imgix.net/cards/printings/ARC006-RF.png?w=400&fit=clip&auto=compress,format",1.0,,,,3.0,1.0,,870,en,"""Now that's what I call blowing off steam!"" - Dash",Arcane Rising,Rainbow foil,{},ARC006-RF,006,arc,Arcane Rising,2020-03-27,True,True,
high-octane,High Octane,[],"['mechanologist', 'action']","Whenever you **boost** a card this turn, gain 1 action point.

Draw a card.

**Go again**",Majestic,"https://fabdb2.imgix.net/cards/printings/ARC006-RF.png?w=400&fit=clip&auto=compress,format",1.0,,,,3.0,1.0,,871,en,"""Now that's what I call blowing off steam!"" - Dash",Arcane Rising,Regular,{},ARC006,006,arc,Arcane Rising,2020-03-27,True,True,
high-octane,High Octane,[],"['mechanologist', 'action']","Whenever you **boost** a card this turn, gain 1 action point.

Draw a card.

**Go again**",Majestic,"https://fabdb2.imgix.net/cards/printings/ARC006-RF.png?w=400&fit=clip&auto=compress,format",1.0,,,,3.0,1.0,,1288,en,"""Now that's what I call blowing off steam!"" - Dash",Arcane Rising Unlimited,Rainbow foil,{},U-ARC006-RF,006,arc,Arcane Rising,2020-03-27,True,True,
high-octane,High Octane,[],"['mechanologist', 'action']","Whenever you **boost** a card this turn, gain 1 action point.

Draw a card.

**Go again**",Majestic,"https://fabdb2.imgix.net/cards/printings/ARC006-RF.png?w=400&fit=clip&auto=compress,format",1.0,,,,3.0,1.0,,1289,en,"""Now that's what I call blowing off steam!"" - Dash",Arcane Rising Unlimited,Regular,{},U-ARC006,006,arc,Arcane Rising,2020-03-27,True,True,
high-octane,High Octane,[],"['mechanologist', 'action']","Whenever you **boost** a card this turn, gain 1 action point.

Draw a card.

**Go again**",Majestic,"https://fabdb2.imgix.net/cards/printings/ARC006-RF.png?w=400&fit=clip&auto=compress,format",1.0,,,,3.0,1.0,,12530,en,,History Pack 1,Regular,{},1HP188,188,1hp,History Pack 1,2021-05-07,False,,
teklo-core,Teklo Core,[],"['mechanologist', 'action', 'item']","**Dash specialization** *(You may only have Teklo Core in your deck if your hero is Dash.)*

Teklo Core enters the arena with 2 steam counters on it. When Teklo Core has no steam counters on it, destroy it.

At the beginning of your action phase, remove a steam counter from Teklo Core and gain [2 Resource].",Majestic,"https://fabdb2.imgix.net/cards/printings/ARC007-RF.png?w=400&fit=clip&auto=compress,format",3.0,,,,,0.0,,872,en,,Arcane Rising,Rainbow foil,{},ARC007-RF,007,arc,Arcane Rising,2020-03-27,True,True,
teklo-core,Teklo Core,[],"['mechanologist', 'action', 'item']","**Dash specialization** *(You may only have Teklo Core in your deck if your hero is Dash.)*

Teklo Core enters the arena with 2 steam counters on it. When Teklo Core has no steam counters on it, destroy it.

At the beginning of your action phase, remove a steam counter from Teklo Core and gain [2 Resource].",Majestic,"https://fabdb2.imgix.net/cards/printings/ARC007-RF.png?w=400&fit=clip&auto=compress,format",3.0,,,,,0.0,,873,en,,Arcane Rising,Regular,{},ARC007,007,arc,Arcane Rising,2020-03-27,True,True,
teklo-core,Teklo Core,[],"['mechanologist', 'action', 'item']","**Dash specialization** *(You may only have Teklo Core in your deck if your hero is Dash.)*

Teklo Core enters the arena with 2 steam counters on it. When Teklo Core has no steam counters on it, destroy it.

At the beginning of your action phase, remove a steam counter from Teklo Core and gain [2 Resource].",Majestic,"https://fabdb2.imgix.net/cards/printings/ARC007-RF.png?w=400&fit=clip&auto=compress,format",3.0,,,,,0.0,,1290,en,,Arcane Rising Unlimited,Rainbow foil,{},U-ARC007-RF,007,arc,Arcane Rising,2020-03-27,True,True,
teklo-core,Teklo Core,[],"['mechanologist', 'action', 'item']","**Dash specialization** *(You may only have Teklo Core in your deck if your hero is Dash.)*

Teklo Core enters the arena with 2 steam counters on it. When Teklo Core has no steam counters on it, destroy it.

At the beginning of your action phase, remove a steam counter from Teklo Core and gain [2 Resource].",Majestic,"https://fabdb2.imgix.net/cards/printings/ARC007-RF.png?w=400&fit=clip&auto=compress,format",3.0,,,,,0.0,,1291,en,,Arcane Rising Unlimited,Regular,{},U-ARC007,007,arc,Arcane Rising,2020-03-27,True,True,
teklo-core,Teklo Core,[],"['mechanologist', 'action', 'item']","**Dash specialization** *(You may only have Teklo Core in your deck if your hero is Dash.)*

Teklo Core enters the arena with 2 steam counters on it. When Teklo Core has no steam counters on it, destroy it.

At the beginning of your action phase, remove a steam counter from Teklo Core and gain [2 Resource].",Majestic,"https://fabdb2.imgix.net/cards/printings/ARC007-RF.png?w=400&fit=clip&auto=compress,format",3.0,,,,,0.0,,12532,en,,History Pack 1,Regular,{},1HP192,192,1hp,History Pack 1,2021-05-07,False,,
maximum-velocity,Maximum Velocity,[],"['mechanologist', 'action', 'attack']",Play Maximum Velocity only if you have **boosted** 3 or more times this turn.,S,"https://fabdb2.imgix.net/cards/printings/ARC008-RF.png?w=400&fit=clip&auto=compress,format",1.0,,,10.0,3.0,2.0,,874,en,"Zoom! Zip! Kazam! Ever wanted to show 'ol Joey what for? Now you can, with the Velocitator 60-T! Turn that pesky rival into a smear on the pavement!",Arcane Rising,Rainbow foil,{},ARC008-RF,008,arc,Arcane Rising,2020-03-27,True,True,
maximum-velocity,Maximum Velocity,[],"['mechanologist', 'action', 'attack']",Play Maximum Velocity only if you have **boosted** 3 or more times this turn.,S,"https://fabdb2.imgix.net/cards/printings/ARC008-RF.png?w=400&fit=clip&auto=compress,format",1.0,,,10.0,3.0,2.0,,875,en,"Zoom! Zip! Kazam! Ever wanted to show 'ol Joey what for? Now you can, with the Velocitator 60-T! Turn that pesky rival into a smear on the pavement!",Arcane Rising,Regular,{},ARC008,008,arc,Arcane Rising,2020-03-27,True,True,
maximum-velocity,Maximum Velocity,[],"['mechanologist', 'action', 'attack']",Play Maximum Velocity only if you have **boosted** 3 or more times this turn.,S,"https://fabdb2.imgix.net/cards/printings/ARC008-RF.png?w=400&fit=clip&auto=compress,format",1.0,,,10.0,3.0,2.0,,1292,en,"Zoom! Zip! Kazam! Ever wanted to show 'ol Joey what for? Now you can, with the Velocitator 60-T! Turn that pesky rival into a smear on the pavement!",Arcane Rising Unlimited,Rainbow foil,{},U-ARC008-RF,008,arc,Arcane Rising,2020-03-27,True,True,
maximum-velocity,Maximum Velocity,[],"['mechanologist', 'action', 'attack']",Play Maximum Velocity only if you have **boosted** 3 or more times this turn.,S,"https://fabdb2.imgix.net/cards/printings/ARC008-RF.png?w=400&fit=clip&auto=compress,format",1.0,,,10.0,3.0,2.0,,1293,en,"Zoom! Zip! Kazam! Ever wanted to show 'ol Joey what for? Now you can, with the Velocitator 60-T! Turn that pesky rival into a smear on the pavement!",Arcane Rising Unlimited,Regular,{},U-ARC008,008,arc,Arcane Rising,2020-03-27,True,True,
spark-of-genius,Spark of Genius,[],"['mechanologist', 'action']","**Dash Specialization** *(You may only have Spark of Genius in your deck if your hero is Dash.)*

Search your deck for a Mechanologist item card with cost X, put it into the arena, then shuffle your deck.

If you have **boosted** this turn, draw a card.",S,"https://fabdb2.imgix.net/cards/printings/ARC009-RF.png?w=400&fit=clip&auto=compress,format",2.0,,,,3.0,0.0,,876,en,"""So if I grab... and then connect... That's it!"" - Dash",Arcane Rising,Rainbow foil,{},ARC009-RF,009,arc,Arcane Rising,2020-03-27,True,True,
spark-of-genius,Spark of Genius,[],"['mechanologist', 'action']","**Dash Specialization** *(You may only have Spark of Genius in your deck if your hero is Dash.)*

Search your deck for a Mechanologist item card with cost X, put it into the arena, then shuffle your deck.

If you have **boosted** this turn, draw a card.",S,"https://fabdb2.imgix.net/cards/printings/ARC009-RF.png?w=400&fit=clip&auto=compress,format",2.0,,,,3.0,0.0,,877,en,"""So if I grab... and then connect... That's it!"" - Dash",Arcane Rising,Regular,{},ARC009,009,arc,Arcane Rising,2020-03-27,True,True,
spark-of-genius,Spark of Genius,[],"['mechanologist', 'action']","**Dash Specialization** *(You may only have Spark of Genius in your deck if your hero is Dash.)*

Search your deck for a Mechanologist item card with cost X, put it into the arena, then shuffle your deck.

If you have **boosted** this turn, draw a card.",S,"https://fabdb2.imgix.net/cards/printings/ARC009-RF.png?w=400&fit=clip&auto=compress,format",2.0,,,,3.0,0.0,,1294,en,"""So if I grab... and then connect... That's it!"" - Dash",Arcane Rising Unlimited,Rainbow foil,{},U-ARC009-RF,009,arc,Arcane Rising,2020-03-27,True,True,
spark-of-genius,Spark of Genius,[],"['mechanologist', 'action']","**Dash Specialization** *(You may only have Spark of Genius in your deck if your hero is Dash.)*

Search your deck for a Mechanologist item card with cost X, put it into the arena, then shuffle your deck.

If you have **boosted** this turn, draw a card.",S,"https://fabdb2.imgix.net/cards/printings/ARC009-RF.png?w=400&fit=clip&auto=compress,format",2.0,,,,3.0,0.0,,1295,en,"""So if I grab... and then connect... That's it!"" - Dash",Arcane Rising Unlimited,Regular,{},U-ARC009,009,arc,Arcane Rising,2020-03-27,True,True,
spark-of-genius,Spark of Genius,[],"['mechanologist', 'action']","**Dash Specialization** *(You may only have Spark of Genius in your deck if your hero is Dash.)*

Search your deck for a Mechanologist item card with cost X, put it into the arena, then shuffle your deck.

If you have **boosted** this turn, draw a card.",S,"https://fabdb2.imgix.net/cards/printings/ARC009-RF.png?w=400&fit=clip&auto=compress,format",2.0,,,,3.0,0.0,,11725,en,,History Pack 1,Regular,{},1HP191,191,1hp,History Pack 1,2021-05-07,False,,
induction-chamber,Induction Chamber,[],"['mechanologist', 'action', 'item']","**Action** - [Resource]: If there are no steam counters on Induction Chamber, put a steam counter on it. **Go again**

**Once per Turn Attack Reaction** - Remove a steam counter from Induction Chamber: Target Mechanologist pistol attack gains **go again**.",S,"https://fabdb2.imgix.net/cards/printings/ARC010-RF.png?w=400&fit=clip&auto=compress,format",1.0,,,,,2.0,,878,en,,Arcane Rising,Rainbow foil,{},ARC010-RF,010,arc,Arcane Rising,2020-03-27,True,True,
induction-chamber,Induction Chamber,[],"['mechanologist', 'action', 'item']","**Action** - [Resource]: If there are no steam counters on Induction Chamber, put a steam counter on it. **Go again**

**Once per Turn Attack Reaction** - Remove a steam counter from Induction Chamber: Target Mechanologist pistol attack gains **go again**.",S,"https://fabdb2.imgix.net/cards/printings/ARC010-RF.png?w=400&fit=clip&auto=compress,format",1.0,,,,,2.0,,879,en,,Arcane Rising,Regular,{},ARC010,010,arc,Arcane Rising,2020-03-27,True,True,
induction-chamber,Induction Chamber,[],"['mechanologist', 'action', 'item']","**Action** - [Resource]: If there are no steam counters on Induction Chamber, put a steam counter on it. **Go again**

**Once per Turn Attack Reaction** - Remove a steam counter from Induction Chamber: Target Mechanologist pistol attack gains **go again**.",S,"https://fabdb2.imgix.net/cards/printings/ARC010-RF.png?w=400&fit=clip&auto=compress,format",1.0,,,,,2.0,,1296,en,,Arcane Rising Unlimited,Rainbow foil,{},U-ARC010-RF,010,arc,Arcane Rising,2020-03-27,True,True,
induction-chamber,Induction Chamber,[],"['mechanologist', 'action', 'item']","**Action** - [Resource]: If there are no steam counters on Induction Chamber, put a steam counter on it. **Go again**

**Once per Turn Attack Reaction** - Remove a steam counter from Induction Chamber: Target Mechanologist pistol attack gains **go again**.",S,"https://fabdb2.imgix.net/cards/printings/ARC010-RF.png?w=400&fit=clip&auto=compress,format",1.0,,,,,2.0,,1297,en,,Arcane Rising Unlimited,Regular,{},U-ARC010,010,arc,Arcane Rising,2020-03-27,True,True,
induction-chamber,Induction Chamber,[],"['mechanologist', 'action', 'item']","**Action** - [Resource]: If there are no steam counters on Induction Chamber, put a steam counter on it. **Go again**

**Once per Turn Attack Reaction** - Remove a steam counter from Induction Chamber: Target Mechanologist pistol attack gains **go again**.",S,"https://fabdb2.imgix.net/cards/printings/ARC010-RF.png?w=400&fit=clip&auto=compress,format",1.0,,,,,2.0,,12531,en,,History Pack 1,Regular,{},1HP189,189,1hp,History Pack 1,2021-05-07,False,,
pedal-to-the-metal-red,Pedal to the Metal,[],"['mechanologist', 'action', 'attack']","If Pedal to the Metal hits, your next attack this turn gains **dominate**. *(The defending hero can't defend the attack with more than 1 card from their hand.)*

**Boost**",Rare,"https://fabdb2.imgix.net/cards/printings/ARC011-RF.png?w=400&fit=clip&auto=compress,format",1.0,,,5.0,3.0,2.0,,880,en,,Arcane Rising,Rainbow foil,{},ARC011-RF,011,arc,Arcane Rising,2020-03-27,True,True,
