product,rarity,number,market price,listed median
Grim Feast (Blue),Rare,DTD177,$0.15,—
Grim Feast (Red),Rare,DTD175,$0.15,—
Grim Feast (Yellow),Rare,DTD176,$0.13,—
Grimoire of the Haunt,Majestic,DTD136,$2.49,—
Hack to Reality,Majestic,DTD229,$1.51,—
Hell Hammer,Rare,DTD105,$0.21,—
Herald of Judgment,Rare,DTD013,$0.77,—
Herald of Protection (Blue),Rare,DTD016,$0.60,—
Herald of Protection (Red),Rare,DTD014,$0.79,—
Herald of Protection (Yellow),Rare,DTD015,$0.75,—
Herald of Ravages (Blue),Rare,DTD019,$0.69,—
Herald of Ravages (Red),Rare,DTD017,$0.29,—
Herald of Ravages (Yellow),Rare,DTD018,$0.35,—
Herald of Rebirth (Blue),Rare,DTD022,$0.72,—
Herald of Rebirth (Red),Rare,DTD020,$0.58,—
Herald of Rebirth (Yellow),Rare,DTD021,$0.56,—
Herald of Tenacity (Blue),Rare,DTD025,$0.73,—
Herald of Tenacity (Red),Rare,DTD023,$0.42,—
Herald of Tenacity (Yellow),Rare,DTD024,$0.32,—
Herald of Triumph (Blue),Rare,DTD028,$1.46,—
Herald of Triumph (Red),Rare,DTD026,$0.85,—
Herald of Triumph (Yellow),Rare,DTD027,$0.56,—
Hold the Line,Majestic,DTD228,$3.01,—
Hungering Demigon (Blue),Rare,DTD174,$0.14,—
Hungering Demigon (Red),Rare,DTD172,$0.13,—
Hungering Demigon (Yellow),Rare,DTD173,$0.14,—
Ironsong Versus,Legendary,DTD207,$70.50,—
Lay to Rest (Blue),Rare,DTD084,$0.15,—
Lay to Rest (Red),Rare,DTD082,$0.17,—
Lay to Rest (Yellow),Rare,DTD083,$0.17,—
Levia,Common,DTD104,$0.22,—
"Levia, Redeemed // Blasmophet, Levia Consumed",Legendary,DTD164,$82.39,—
"Levia, Redeemed // Blasmophet, Levia Consumed (Marvel)",Marvel,DTD164,$802.74,—
"Levia, Shadowborn Abomination",Common,DTD103,$0.24,—
Light of Sol,Fabled,DTD000,$265.82,—
Light the Way (Blue),Common,DTD068,$0.16,—
Light the Way (Red),Common,DTD066,$0.15,—
Light the Way (Yellow),Common,DTD067,$0.15,—
Lost in Thought,Majestic,DTD219,$8.59,—
Lumina Lance,Majestic,DTD080,$1.93,—
"Luminaris, Celestial Fury",Rare,DTD003,$0.27,—
Mischievous Meeps,Majestic,DTD227,$6.88,—
Morlock Hill,Majestic,DTD209,$0.50,—
"Nasreth, the Soul Harrower",Common,DTD193,$0.11,—
"Nasreth, the Soul Harrower (Marvel)",Marvel,DTD193-CF,$49.52,—
Northern Winds,Majestic,DTD197,$0.38,—
Numbskull,Majestic,DTD201,$0.64,—
Oblivion,Majestic,DTD142,$4.15,—
Poison the Well,Majestic,DTD231,$0.58,—
Prayer of Bellona,Majestic,DTD053,$1.59,—
"Prism, Advent of Thrones",Majestic,DTD002,$1.17,—
"Prism, Awakener of Sol",Majestic,DTD001,$2.00,—
Putrid Stirrings (Blue),Common,DTD163,$0.18,—
Putrid Stirrings (Red),Common,DTD161,$0.19,—
Putrid Stirrings (Yellow),Common,DTD162,$0.08,—
Quicken,Common,DTD234,$0.32,—
Radiant Flow,Common,DTD078,$0.25,—
Radiant Forcefield,Majestic,DTD081,$0.34,—
Radiant Raiment,Common,DTD076,$0.26,—
Radiant Touch,Common,DTD077,$0.20,—
Radiant View,Common,DTD075,$0.15,—
Ram Raider (Blue),Rare,DTD114,$0.10,—
Ram Raider (Red),Rare,DTD112,$0.16,—
Ram Raider (Yellow),Rare,DTD113,$0.18,—
Reality Refractor,Rare,DTD216,$0.37,—
Requiem for the Damned,Majestic,DTD141,$1.83,—
Resounding Courage (Blue),Common,DTD071,$0.17,—
Resounding Courage (Red),Common,DTD069,$0.19,—
Resounding Courage (Yellow),Common,DTD070,$0.16,—
Rift Skitter (Blue),Common,DTD154,$0.13,—
Rift Skitter (Red),Common,DTD152,$0.18,—
Rift Skitter (Yellow),Common,DTD153,$0.11,—
Rugged Roller,Rare,DTD199,$0.33,—
Runechant,Common,DTD214,$0.17,—
Runic Reckoning,Majestic,DTD213,$3.77,—
Scepter of Pain,Rare,DTD210,$0.27,—
Scowling Flesh Bag,Legendary,DTD200,$73.02,—
Searing Ray (Blue),Common,DTD099,$0.11,—
Searing Ray (Red),Common,DTD097,$0.10,—
Searing Ray (Yellow),Common,DTD098,$0.13,—
Seismic Surge,Common,DTD204,$0.06,—
"Ser Boltyn, Breaker of Dawn",Common,DTD044,$0.23,—
Shaden Death Hydra,Majestic,DTD108,$0.84,—
Shaden Scream (Blue),Rare,DTD120,$0.14,—
Shaden Scream (Red),Rare,DTD118,$0.21,—
Shaden Scream (Yellow),Rare,DTD119,$0.13,—
Shaden Swing (Blue),Rare,DTD126,$0.08,—
Shaden Swing (Red),Rare,DTD124,$0.12,—
Shaden Swing (Yellow),Rare,DTD125,$0.15,—
Shroud of Darkness,Common,DTD165,$0.12,—
Slithering Shadowpede,Majestic,DTD109,$3.51,—
Soul Butcher (Blue),Common,DTD183,$0.09,—
Soul Butcher (Red),Common,DTD181,$0.10,—
Soul Butcher (Yellow),Common,DTD182,$0.09,—
Soul Cleaver (Blue),Common,DTD186,$0.08,—
Soul Cleaver (Red),Common,DTD184,$0.11,—
Soul Cleaver (Yellow),Common,DTD185,$0.08,—
Soulbond Resolve,Legendary,DTD047,$42.72,—
Spectral Shield,Common,DTD220,$0.06,—
Spellbane Aegis,Common,DTD235,$0.14,—
Spirit of War,Majestic,DTD052,$1.67,—
Spoiled Skull,Majestic,DTD106,$2.74,—
Spoiled Skull (Extended Art),Majestic,DTD106,$22.04,—
Star Struck,Majestic,DTD203,$11.19,—
Tear Through the Portal (Blue),Common,DTD192,$0.07,—
Tear Through the Portal (Red),Common,DTD190,$0.15,—
Tear Through the Portal (Yellow),Common,DTD191,$0.08,—
Tribute to Demolition (Blue),Rare,DTD129,$0.09,—
Tribute to Demolition (Red),Rare,DTD127,$0.12,—
Tribute to Demolition (Yellow),Rare,DTD128,$0.14,—
Tribute to the Legions of Doom (Blue),Rare,DTD132,$0.09,—
Tribute to the Legions of Doom (Red),Rare,DTD130,$0.14,—
Tribute to the Legions of Doom (Yellow),Rare,DTD131,$0.12,—
United We Stand,Majestic,DTD079,$0.43,—
V for Valor (Blue),Rare,DTD062,$0.20,—
V for Valor (Red),Rare,DTD060,$0.27,—
V for Valor (Yellow),Rare,DTD061,$0.25,—
Vantom Banshee (Blue),Common,DTD157,$0.16,—
Vantom Banshee (Red),Common,DTD155,$0.16,—
Vantom Banshee (Yellow),Common,DTD156,$0.13,—
Vantom Wraith (Blue),Common,DTD160,$0.11,—
Vantom Wraith (Red),Common,DTD158,$0.13,—
Vantom Wraith (Yellow),Common,DTD159,$0.14,—
Vile Inquisition (Blue),Rare,DTD180,$0.20,—
Vile Inquisition (Red),Rare,DTD178,$0.13,—
Vile Inquisition (Yellow),Rare,DTD179,$0.14,—
Vynnset,Rare,DTD134,$0.21,—
"Vynnset, Iron Maiden",Majestic,DTD133,$2.90,—
Wall Breaker (Blue),Rare,DTD117,$0.17,—
Wall Breaker (Red),Rare,DTD115,$0.16,—
Wall Breaker (Yellow),Rare,DTD116,$0.23,—
Warmonger's Diplomacy,Majestic,DTD230,$40.18,—
Wartune Herald (Blue),Rare,DTD031,$0.83,—
Wartune Herald (Red),Rare,DTD029,$1.07,—
Wartune Herald (Yellow),Rare,DTD030,$0.56,—
Widespread Annihilation,Majestic,DTD137,$4.14,—
Widespread Annihilation (Extended Art),Majestic,DTD137,$57.61,—
Widespread Destruction,Majestic,DTD138,$3.81,—
Widespread Destruction (Extended Art),Majestic,DTD138,$31.18,—
Widespread Ruin,Majestic,DTD139,$3.60,—
Widespread Ruin (Extended Art),Majestic,DTD139,$61.11,—
"Arakni, Solitary Confinement",Common,ARA001,—,—
Bloodrot Pox,Token,ARA027,$0.25,—
Bloodrot Trap,Common,ARA019,$0.42,—
Blossom of Spring,Common,ARA004,$2.00,—
Frailty,Token,ARA028,$0.25,—
Hurl (Red),Rare,ARA007,$0.99,—
Inertia,Token,ARA029,—,—
Infect (Blue),Common,ARA022,$0.30,—
Infect (Red),Common,ARA008,$0.50,—
Infect (Yellow),Common,ARA020,—,—
Isolate (Red),Common,ARA009,—,—
Malign (Red),Common,ARA010,—,—
Mask of Malicious Manifestations,Common,ARA003,—,—
Prowl (Blue),Common,ARA023,—,—
Prowl (Red),Common,ARA011,—,—
Prowl (Yellow),Common,ARA021,—,—
Razor's Edge (Blue),Common,ARA026,—,—
Razor's Edge (Red),Common,ARA016,—,—
Sedate (Blue),Common,ARA024,$0.35,—
Sedate (Red),Common,ARA012,—,—
Short and Sharp (Red),Common,ARA017,—,—
Snapdragon Scalers,Common,ARA006,$1.00,—
Spider's Bite,Common,ARA002,—,—
Spike with Bloodrot,Rare,ARA018,$0.38,—
Spring Load (Red),Common,ARA015,—,—
Toxic Tips,Common,ARA005,—,—
Virulent Touch (Red),Common,ARA014,—,—
Wither (Blue),Common,ARA025,—,—
Wither (Red),Common,ARA013,—,—
Azalea,Common,AZL001,—,—
Barbed Castaway,Common,AZL002,—,—
Bloodrot Pox,Token,AZL028,—,—
Bracers of Belief,Common,AZL006,—,—
Crow's Nest,Common,AZL003,—,—
Falcon Wing (Blue),Common,AZL023,—,—
Falcon Wing (Red),Common,AZL008,—,—
Fletch a Red Tail (Red),Rare,AZL019,—,—
Frailty,Token,AZL029,—,—
Inertia,Token,AZL030,—,—
Infecting Shot (Red),Common,AZL009,$0.50,—
Ironrot Legs,Common,AZL007,—,—
Murkmire Grapnel (Red),Common,AZL010,—,—
Ravenous Rabble (Red),Common,AZL017,—,—
Salvage Shot (Red),Common,AZL011,—,—
Scout the Periphery (Blue),Common,AZL026,—,—
Scout the Periphery (Red),Common,AZL020,—,—
Sedation Shot (Blue),Common,AZL024,—,—
Sedation Shot (Red),Common,AZL012,—,—
Sedation Shot (Yellow),Common,AZL021,—,—
Seek Horizon (Red),Common,AZL018,—,—
Skybound Shot (Red),Common,AZL013,—,—
Spire Sniping (Blue),Common,AZL025,—,—
Spire Sniping (Red),Common,AZL014,—,—
Spire Sniping (Yellow),Common,AZL022,—,—
Threadbare Tunic,Common,AZL005,—,—
Toxicity (Blue),Rare,AZL027,$0.50,—
Wayfinder's Crest,Common,AZL004,—,—
Widowmaker (Red),Common,AZL015,—,—
Withering Shot (Red),Common,AZL016,—,—
Back Heel Kick (Red),Common,BEN008,—,—
Back Heel Kick (Yellow),Common,BEN014,—,—
Be Like Water (Blue),Common,BEN021,—,—
Be Like Water (Yellow),Common,BEN018,—,—
"Benji, the Piercing Wind",Common,BEN001,—,—
Bleed Out (Red),Rare,BEN007,—,—
Feisty Locals (Red),Common,BEN011,—,—
Fisticuffs,Common,BEN005,—,—
Fleet Foot Sandals,Common,BEN006,—,—
Harmonized Kodachi,Common,BEN002,$0.20,—
Head Jab (Blue),Common,BEN024,—,—
Head Jab (Red),Common,BEN010,—,—
Head Jab (Yellow),Common,BEN017,—,—
Lunging Press,Common,BEN026,$0.35,—
Mask of Shifting Perspectives,Common,BEN003,—,—
One-Two Punch (Blue),Common,BEN022,—,—
One-Two Punch (Yellow),Common,BEN016,—,—
Plunge (Yellow),Common,BEN019,$0.35,—
Recoil (Blue),Rare,BEN023,$0.50,—
Salt the Wound (Yellow),Common,BEN020,$0.35,—
Short and Sharp (Red),Common,BEN013,—,—
Silken Gi,Common,BEN004,—,—
Soulbead Strike (Blue),Common,BEN025,—,—
Spring Load (Red),Common,BEN012,—,—
Twin Twisters (Red),Common,BEN009,—,—
Twin Twisters (Yellow),Common,BEN015,—,—
Be Like Water (Blue),Common,KAT025,—,—
Be Like Water (Red),Common,KAT014,$0.50,—
Be Like Water (Yellow),Common,KAT020,—,—
Blossom of Spring,Common,KAT004,$1.00,—
Bonds of Ancestry (Red),Rare,KAT007,$0.50,—
Descendent Gustwave (Red),Common,KAT008,—,—
Descendent Gustwave (Yellow),Common,KAT018,—,—
Fisticuffs,Common,KAT005,—,—
Fluster Fist (Red),Rare,KAT011,$0.50,—
Harmonized Kodachi,Common,KAT002,$1.00,—
Head Jab (Blue),Common,KAT022,—,—
Head Jab (Red),Common,KAT013,—,—
Head Jab (Yellow),Common,KAT017,—,—
Katsu,Common,KAT001,—,—
Lunging Press,Common,KAT026,$0.50,—
Mask of Many Faces,Common,KAT003,$1.00,—
One-Two Punch (Blue),Common,KAT021,—,—
One-Two Punch (Yellow),Common,KAT016,—,—
Open the Center (Red),Common,KAT012,—,—
Quelling Slippers,Common,KAT006,—,—
Scar for a Scar (Red),Common,KAT015,$0.50,—
Surging Strike (Blue),Common,KAT024,—,—
Surging Strike (Red),Common,KAT010,—,—
Surging Strike (Yellow),Common,KAT019,—,—
Whelming Gustwave (Blue),Common,KAT023,—,—
Whelming Gustwave (Red),Common,KAT009,—,—
Barbed Castaway,Common,RIP002,—,—
Bloodrot Pox,Common,RIP028,—,—
Bloodrot Trap (Red),Common,RIP008,—,—
Boulder Trap (Yellow),Rare,RIP011,—,—
Driftwood Quiver,Common,RIP003,$1.00,—
Falcon Wing (Red),Common,RIP014,—,—
Falcon Wing (Yellow),Common,RIP024,—,—
Frailty,Token,RIP029,—,—
Frailty Trap (Red),Common,RIP009,$0.50,—
Hemorrhage Bore (Red),Common,RIP015,—,—
Increase the Tension (Red),Common,RIP022,$0.50,—
Inertia,Token,RIP030,—,—
Inertia Trap (Red),Common,RIP010,—,—
Infecting Shot (Yellow),Common,RIP025,—,—
Ironrot Legs,Common,RIP007,—,—
Mask of Malicious Manifestations,Common,RIP004,—,—
Murkmire Grapnel (Red),Common,RIP016,—,—
Murkmire Grapnel (Yellow),Common,RIP026,—,—
Pendulum Trap (Yellow),Rare,RIP012,—,—
Ravenous Rabble (Red),Common,RIP021,—,—
Riptide,Common,RIP001,$1.00,—
Salvage Shot (Red),Common,RIP017,—,—
Scout the Periphery (Red),Common,RIP023,—,—
Scout the Periphery (Yellow),Common,RIP027,$0.50,—
Searing Shot (Red),Common,RIP018,—,—
Sedation Shot (Red),Common,RIP019,—,—
Tarpit Trap (Yellow),Rare,RIP013,—,—
Threadbare Tunic,Common,RIP005,—,—
Toxic Tips,Common,RIP006,—,—
Withering Shot (Red),Common,RIP020,—,—
Bloodrot Pox,Token,UZU028,—,—
Cut Down to Size (Red),Common,UZU009,$0.50,—
Death Touch (Red),Rare,UZU008,$0.38,—
Demolition Crew (Red),Common,UZU010,—,—
Destructive Deliberation (Red),Common,UZU011,—,—
Fisticuffs,Common,UZU005,$1.00,—
Frailty,Token,UZU029,—,—
Humble (Red),Rare,UZU012,—,—
Inertia,Token,UZU030,$1.00,—
Infect (Blue),Common,UZU021,$0.25,—
Infect (Red),Common,UZU013,$0.24,—
Infect (Yellow),Common,UZU017,—,—
Ironhide Legs,Common,UZU006,$1.00,—
Isolate (Blue),Common,UZU022,$0.33,—
Isolate (Red),Common,UZU014,$0.24,—
Isolate (Yellow),Common,UZU018,$0.50,—
Mask of Shifting Perspectives,Common,UZU003,—,—
Peace of Mind (Red),Common,UZU016,—,—
Ponder,Token,UZU031,—,—
Prowl (Blue),Common,UZU023,—,—
Quelling Robe,Common,UZU004,—,—
Razor's Edge (Blue),Common,UZU026,—,—
Sedate (Blue),Common,UZU024,$0.50,—
Sedate (Red),Common,UZU015,—,—
Sedate (Yellow),Common,UZU019,—,—
Sneak Attack (Red),Rare,UZU007,—,—
Spider's Bite,Common,UZU002,$0.24,—
Unmovable (Blue),Common,UZU027,$0.24,—
Uzuri,Common,UZU001,$0.75,—
Wither (Blue),Common,UZU025,—,—
Wither (Yellow),Common,UZU020,—,—
Amnesia,Majestic,OUT183,$3.39,—
Amplifying Arrow,Majestic,OUT100,$0.58,—
"Arakni, Solitary Confinement",Token,OUT003,$0.19,—
"Arakni, Solitary Confinement // Uzuri",Token,OUT003 // OUT002,$0.10,—
Azalea,Token,OUT090,$0.11,—
Azalea // Riptide,Token,OUT090 // OUT092,—,—
"Azalea, Ace in the Hole",Token,OUT089,$0.21,—
"Azalea, Ace in the Hole // Ponder",Token,OUT089 // OUT237,—,—
Back Heel Kick (Blue),Common,OUT067,$0.14,—
Back Heel Kick (Red),Common,OUT065,$0.13,—
Back Heel Kick (Yellow),Common,OUT066,$0.11,—
Back Stab (Blue),Rare,OUT017,$0.14,—
Back Stab (Red),Rare,OUT015,$0.16,—
Back Stab (Yellow),Rare,OUT016,$0.12,—
Barbed Castaway,Token,OUT093,$0.17,—
Barbed Castaway // Harmonized Kodachi,Token,OUT093 // OUT048,—,—
Barbed Undertow,Majestic,OUT101,$1.32,—
Be Like Water (Blue),Common,OUT070,$0.10,—
Be Like Water (Red),Common,OUT068,$0.13,—
Be Like Water (Yellow),Common,OUT069,$0.11,—
"Benji, the Piercing Wind",Token,OUT047,$0.14,—
Blade Cuff,Common,OUT141,$0.13,—
Bleed Out (Blue),Rare,OUT147,$0.10,—
Bleed Out (Red),Rare,OUT145,$0.09,—
Bleed Out (Yellow),Rare,OUT146,$0.10,—
Bloodrot Pox,Token,OUT234,$0.14,—
Bloodrot Pox // Harmonized Kodachi,Token,OUT234 // OUT048,—,—
Bloodrot Trap (Red),Common,OUT171,$0.08,—
Bonds of Ancestry (Blue),Rare,OUT058,$0.14,—
Bonds of Ancestry (Red),Rare,OUT056,$0.16,—
Bonds of Ancestry (Yellow),Rare,OUT057,$0.16,—
Boulder Trap (Yellow),Rare,OUT106,$0.12,—
Brush Off (Blue),Common,OUT230,$0.11,—
Brush Off (Red),Common,OUT228,$0.12,—
Brush Off (Yellow),Common,OUT229,$0.11,—
Burdens of the Past,Majestic,OUT187,$0.88,—
Buzzsaw Trap,Majestic,OUT102,$2.59,—
Codex of Bloodrot,Majestic,OUT159,$4.24,—
Codex of Bloodrot (Marvel),Marvel,OUT159,$132.23,—
Codex of Frailty,Majestic,OUT160,$42.96,—
Codex of Frailty (Marvel),Marvel,OUT160,$307.58,—
Codex of Inertia,Majestic,OUT161,$2.87,—
Codex of Inertia (Marvel),Marvel,OUT161,$141.67,—
Collapsing Trap,Majestic,OUT103,$3.09,—
Come to Fight (Blue),Common,OUT224,$0.03,—
Come to Fight (Red),Common,OUT222,$0.11,—
Come to Fight (Yellow),Common,OUT223,$0.04,—
Concealed Blade,Majestic,OUT143,$4.46,—
Cracked Bauble,Token,OUT238,$0.30,—
Crow's Nest,Token,OUT097,$0.16,—
Crow's Nest // Driftwood Quiver,Token,OUT097 // OUT098,$0.30,—
Cut Down to Size (Blue),Common,OUT203,$0.10,—
Cut Down to Size (Red),Common,OUT201,$0.08,—
Cut Down to Size (Yellow),Common,OUT202,$0.10,—
Cyclone Roundhouse,Majestic,OUT050,$0.33,—
Deadly Duo (Blue),Common,OUT073,$0.12,—
Deadly Duo (Red),Common,OUT071,$0.11,—
Deadly Duo (Yellow),Common,OUT072,$0.11,—
Death Touch (Blue),Rare,OUT164,$0.11,—
Death Touch (Red),Rare,OUT162,$0.17,—
Death Touch (Yellow),Rare,OUT163,$0.16,—
Descendent Gustwave (Blue),Common,OUT076,$0.08,—
Descendent Gustwave (Red),Common,OUT074,$0.10,—
Descendent Gustwave (Yellow),Common,OUT075,$0.10,—
Destructive Deliberation (Blue),Common,OUT206,$0.14,—
Destructive Deliberation (Red),Common,OUT204,$0.10,—
Destructive Deliberation (Yellow),Common,OUT205,$0.14,—
Dishonor,Majestic,OUT051,$3.19,—
Down and Dirty,Majestic,OUT184,$12.85,—
Driftwood Quiver,Token,OUT098,$0.18,—
Falcon Wing (Blue),Common,OUT117,$0.08,—
Falcon Wing (Red),Common,OUT115,$0.09,—
Falcon Wing (Yellow),Common,OUT116,$0.09,—
Feisty Locals (Blue),Common,OUT209,$0.13,—
Feisty Locals (Red),Common,OUT207,$0.10,—
Feisty Locals (Yellow),Common,OUT208,$0.05,—
Fisticuffs,Common,OUT181,$0.10,—
Fleet Foot Sandals,Common,OUT182,$0.06,—
Fletch a Blue Tail (Blue),Rare,OUT111,$0.16,—
Fletch a Red Tail (Red),Rare,OUT109,$0.13,—
Fletch a Yellow Tail (Yellow),Rare,OUT110,$0.12,—
Flick Knives,Legendary,OUT139,$104.51,—
Frailty,Token,OUT235,$0.16,—
Frailty // Spider's Bite,Token,OUT235 // OUT004,$0.10,—
Frailty Trap (Red),Common,OUT172,$0.10,—
Freewheeling Renegades (Blue),Common,OUT212,$0.06,—
Freewheeling Renegades (Red),Common,OUT210,$0.09,—
Freewheeling Renegades (Yellow),Common,OUT211,$0.07,—
Give and Take,Majestic,OUT185,$6.29,—
Gore Belching,Majestic,OUT186,$0.51,—
Harmonized Kodachi,Token,OUT048,$0.13,—
Head Jab (Blue),Common,OUT079,$0.07,—
Head Jab (Red),Common,OUT077,$0.07,—
Head Jab (Yellow),Common,OUT078,$0.09,—
Head Leads the Tail,Majestic,OUT052,$0.39,—
Humble (Blue),Rare,OUT191,$0.11,—
Humble (Red),Rare,OUT189,$0.22,—
Humble (Yellow),Rare,OUT190,$0.13,—
Hurl (Blue),Rare,OUT150,$0.11,—
Hurl (Red),Rare,OUT148,$0.14,—
Hurl (Yellow),Rare,OUT149,$0.10,—
